id,level_id,total_time,donuts,candy,level,progress,id Quizo,nbr Items,badge المثابرة,التركيز,النجاح,التميز,الإرتقاء,total_Time_Education,nb_mistakes,correct Question,correct_Q_Math,correct_Q_Science,correct_Q_Ar,correct_Q_Fr,Q_Best_Time,best_time_math,best_time_science,best_time_ar,best_time_fr,Q_Worst_Time,worst_time_math,worst_time_science,worst_time_ar,worst_time_fr,Q_Avg_Time,Avg_Time_math,Avg_Time__science,Avg_Time_ar,Avg_Time_fr
62468,6,0:02:36,2,350,1,0,NULL,0,0,1,0,0,,238,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
62470,3,0:13:40,21,425,1,0.4285714924,NULL,0,1,3,2,2,,4109,8,12,12,0,0,0,2,2,0,0,0,0,0,0,0,0,10,10,0,0,0
62472,5,0:32:27,20,350,1,0,NULL,0,3,6,3,1,,9149,37,20,20,0,0,0,3,3,0,0,0,5,5,0,0,0,12,12,0,0,0
62474,5,0:29:04,33,350,1,0,NULL,0,3,6,4,4,,7938,17,25,7,18,0,0,1,0,1,0,0,0,0,0,0,0,24,7,17,0,0
62482,3,0:04:29,6,350,1,0,41396,1,0,1,0,2,,553,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0
62484,8,0:32:00,27,350,1,0,NULL,0,3,5,2,3,,7336,14,22,20,2,0,0,0,0,0,0,0,1,1,0,0,0,21,19,2,0,0
62486,3,0:12:44,27,750,1,0.5357143283,41398,2,1,3,3,2,,2233,2,15,15,0,0,0,9,9,0,0,0,0,0,0,0,0,6,6,0,0,0
62488,3,0:09:37,25,350,1,0,NULL,0,1,3,2,5,,2905,1,14,0,14,0,0,5,0,5,0,0,0,0,0,0,0,9,0,9,0,0
62496,3,0:22:20,20,1256,1,0,NULL,0,2,5,2,4,,6797,3,11,0,11,0,0,0,0,0,0,0,3,0,3,0,0,8,0,8,0,0
62502,3,0:05:04,11,350,1,0,NULL,0,0,1,1,3,,1365,1,7,1,6,0,0,4,0,4,0,0,0,0,0,0,0,3,1,2,0,0
62506,5,0:05:20,5,350,1,0,NULL,0,0,2,1,0,,1757,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0
62509,5,0:43:08,9,350,1,0,NULL,0,3,5,0,0,,6167,32,9,9,0,0,0,0,0,0,0,0,4,4,0,0,0,5,5,0,0,0
62512,4,0:07:34,3,350,1,0,NULL,0,1,2,0,0,,700,4,3,3,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0
62514,3,1:26:53,62,350,1,0,NULL,0,4,7,7,2,,22813,103,62,61,1,0,0,7,7,0,0,0,9,9,0,0,0,46,45,1,0,0
62516,3,0:14:16,26,350,1,0,NULL,0,1,3,3,5,,3402,3,19,19,0,0,0,4,4,0,0,0,0,0,0,0,0,15,15,0,0,0
62518,3,0:09:05,11,350,1,0,NULL,0,1,2,2,1,,2828,15,11,11,0,0,0,3,3,0,0,0,1,1,0,0,0,7,7,0,0,0
62520,3,5:05:11,197,400,3,0.7999998927,41416,1,10,7,5,7,2,87024,135,115,103,2,33,0,8,7,0,1,0,18,11,0,7,0,89,85,2,25,0
62524,5,0:19:38,18,350,1,0,NULL,0,2,3,1,1,,5467,26,18,18,0,0,0,3,3,0,0,0,1,1,0,0,0,14,14,0,0,0
62527,3,0:25:03,5,350,1,0,NULL,0,2,3,1,1,,4172,8,5,5,0,0,0,0,0,0,0,0,3,3,0,0,0,2,2,0,0,0
62529,3,0:18:32,18,350,1,0,NULL,0,1,2,2,0,,4998,27,18,18,0,0,0,3,3,0,0,0,1,1,0,0,0,14,14,0,0,0
62531,6,0:32:52,40,350,1,0,NULL,0,3,4,4,2,,10241,55,40,40,0,0,0,8,8,0,0,0,3,3,0,0,0,29,29,0,0,0
62534,5,0:23:58,17,350,1,0,NULL,0,2,2,1,1,,6398,16,17,14,3,0,0,1,1,0,0,0,1,1,0,0,0,15,12,3,0,0
62536,3,0:56:03,61,5197,2,0.2250000238,41425,3,3,7,4,7,1,12712,30,27,12,15,0,0,2,0,2,0,0,3,2,1,0,0,22,10,12,0,0
62540,4,0:05:37,3,350,1,0,NULL,0,1,3,0,0,,1722,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0
62542,3,0:15:39,13,350,1,0,NULL,0,1,4,2,2,,5229,16,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,0,0,0
62544,3,0:02:21,3,350,1,0,NULL,0,0,2,0,0,,469,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0
62546,6,0:14:07,17,350,1,0,41430,1,1,3,2,2,,4081,10,13,10,3,0,0,3,3,0,0,0,1,1,0,0,0,9,6,3,0,0
62573,3,0:02:45,1,350,1,0,NULL,0,1,3,0,0,,245,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
62575,3,0:23:59,9,350,1,0,NULL,0,2,6,1,0,,7455,7,8,1,0,7,0,0,0,0,0,0,1,0,0,1,0,7,1,0,6,0
62576,3,2:17:30,91,350,1,0,NULL,0,6,7,5,5,,39739,215,87,50,32,5,0,10,9,1,0,0,10,5,4,1,0,67,36,27,4,0
62578,3,0:34:45,37,350,1,0,NULL,0,3,7,4,2,,9828,53,20,7,13,0,0,6,1,5,0,0,5,3,2,0,0,9,3,6,0,0
62579,3,0:31:54,23,350,1,0,NULL,0,3,7,4,2,,8022,7,23,23,0,0,0,1,1,0,0,0,1,1,0,0,0,21,21,0,0,0
62581,3,0:24:18,22,350,1,0,NULL,0,2,4,4,4,,5537,10,23,23,0,0,0,4,4,0,0,0,1,1,0,0,0,18,18,0,0,0
62586,5,0:50:59,36,350,1,0,NULL,0,3,7,3,2,,12677,42,29,13,16,0,0,2,2,0,0,0,4,1,3,0,0,23,10,13,0,0
62592,3,0:07:03,7,350,1,0,NULL,0,0,2,1,2,,1414,1,6,4,2,0,0,2,0,2,0,0,0,0,0,0,0,4,4,0,0,0
62599,4,0:15:16,6,350,1,0,NULL,0,1,4,1,2,,3031,10,7,7,0,0,0,2,2,0,0,0,0,0,0,0,0,5,5,0,0,0
62605,4,0:06:38,9,350,1,0,NULL,0,0,2,1,2,,1645,1,7,7,0,0,0,2,2,0,0,0,0,0,0,0,0,5,5,0,0,0
62606,5,0:07:02,6,350,1,0,NULL,0,0,2,1,0,,1736,10,6,6,0,0,0,2,2,0,0,0,0,0,0,0,0,4,4,0,0,0
62610,3,3:03:27,83,350,1,0,NULL,0,7,7,3,4,,36792,43,52,21,28,3,0,5,1,3,1,0,12,5,6,1,0,35,15,19,1,0
62612,3,0:04:37,3,350,1,0,NULL,0,0,2,0,0,,1393,2,3,3,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,0,0,0
62614,7,0:17:30,15,350,1,0,NULL,0,1,4,1,4,,3297,19,7,3,4,0,0,4,3,1,0,0,1,0,1,0,0,2,0,2,0,0
62616,6,1:27:55,84,725,1,0.678571403,NULL,0,5,5,2,6,,22365,56,48,34,14,0,0,0,0,0,0,0,5,2,3,0,0,43,32,11,0,0
62618,3,0:12:43,7,350,1,0,NULL,0,1,3,0,2,,1253,4,4,4,0,0,0,0,0,0,0,0,1,1,0,0,0,3,3,0,0,0
62620,4,0:04:39,5,350,1,0,NULL,0,0,2,1,1,,1232,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0
62622,5,0:09:25,6,350,1,0,NULL,0,0,2,0,0,,2961,7,6,6,0,0,0,0,0,0,0,0,1,1,0,0,0,5,5,0,0,0
62626,3,0:03:15,1,350,1,0,NULL,0,0,2,0,0,,126,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
62628,3,0:09:38,11,350,1,0,NULL,0,0,2,2,1,,3017,7,11,11,0,0,0,1,1,0,0,0,0,0,0,0,0,10,10,0,0,0
62629,6,2:52:08,0,1573,1,0,41481,4,7,7,7,4,2,25963,425,465,69,7,17,0,27,18,1,8,0,5,3,1,1,0,433,48,5,8,0
62631,3,1:35:46,96,350,1,0,NULL,0,5,7,2,6,,24766,38,46,15,27,4,0,10,5,5,0,0,4,1,2,1,0,32,9,20,3,0
62634,3,1:13:49,44,350,1,0,NULL,0,4,7,4,2,,21819,53,44,44,0,0,0,7,7,0,0,0,11,11,0,0,0,26,26,0,0,0
62635,3,0:44:10,33,350,1,0,41484,1,3,5,2,3,,15442,29,22,7,15,0,0,0,0,0,0,0,7,1,6,0,0,15,6,9,0,0
62637,4,0:12:09,8,350,1,0,NULL,0,1,3,0,1,,3024,9,8,5,3,0,0,3,3,0,0,0,2,0,2,0,0,3,2,1,0,0
62644,7,4:54:47,152,2535,3,0.9999997,41490,7,9,7,2,3,2,61558,58,77,14,29,19,15,5,1,1,2,1,13,1,3,4,5,59,12,25,13,9
62646,6,0:17:43,16,350,1,0,NULL,0,2,3,1,2,,5628,11,12,9,3,0,0,0,0,0,0,0,2,0,2,0,0,10,9,1,0,0
62647,7,0:09:37,9,500,1,0.1785714328,41492,1,0,2,0,2,,3150,6,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0
62652,7,3:11:00,1,5349,1,0,41495,7,7,7,7,7,3,49175,192,136,122,14,0,0,13,12,1,0,0,9,6,3,0,0,114,104,10,0,0
62653,7,0:04:50,4,350,1,0,NULL,0,0,1,0,0,,1470,7,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0
62654,3,0:04:24,6,350,1,0,NULL,0,0,1,1,1,,749,14,42,5,1,0,0,1,1,0,0,0,0,0,0,0,0,41,4,1,0,0
62656,3,0:02:17,1,350,1,0,NULL,0,0,0,0,0,,14,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
62658,8,0:03:06,1,350,1,0,NULL,0,0,1,0,0,,154,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
62660,7,0:17:01,16,350,1,0,NULL,0,1,4,3,2,,5495,7,16,16,0,0,0,0,0,0,0,0,1,1,0,0,0,15,15,0,0,0
62664,5,3:23:43,143,350,1,0,NULL,0,8,7,4,7,,50911,79,87,31,32,2,22,4,0,4,0,0,6,2,3,0,1,77,29,25,2,21
62665,8,0:09:39,8,350,1,0,NULL,0,0,2,1,1,,3332,5,8,8,0,0,0,0,0,0,0,0,1,1,0,0,0,7,7,0,0,0
62667,4,0:08:12,6,350,1,0,NULL,0,0,2,1,1,,2786,6,6,6,0,0,0,0,0,0,0,0,2,2,0,0,0,4,4,0,0,0
62669,4,1:10:20,48,350,1,0,NULL,0,4,5,3,1,,21490,105,48,48,0,0,0,0,0,0,0,0,6,6,0,0,0,42,42,0,0,0
62672,3,0:31:16,40,350,1,0,NULL,0,3,7,7,3,,9513,23,40,40,0,0,0,11,11,0,0,0,2,2,0,0,0,27,27,0,0,0
62676,7,0:00:39,2,350,1,0,NULL,0,0,1,0,0,,147,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
62678,5,0:13:51,19,350,1,0,NULL,0,1,4,2,2,,4662,8,13,0,13,0,0,0,0,0,0,0,1,0,1,0,0,12,0,12,0,0
62686,6,0:07:19,8,350,1,0,NULL,0,0,2,1,2,,2289,12,8,8,0,0,0,3,3,0,0,0,1,1,0,0,0,4,4,0,0,0
62690,4,0:11:52,6,350,1,0,NULL,0,1,3,1,0,,1099,8,6,6,0,0,0,1,1,0,0,0,0,0,0,0,0,5,5,0,0,0
62692,3,0:05:35,3,350,1,0,NULL,0,0,2,0,0,,735,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0
62696,3,0:00:56,1,350,1,0,NULL,0,0,0,0,0,,63,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
62698,4,0:16:53,9,350,1,0,NULL,0,2,6,0,4,,2471,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0
62700,4,1:41:49,82,350,1,0,NULL,0,5,7,5,4,,27412,88,61,46,15,0,0,5,1,4,0,0,2,2,0,0,0,54,43,11,0,0
